Country,Step_1_RMSE,Step_2_RMSE,Step_3_RMSE,Step_4_RMSE,Step_5_RMSE,Step_6_RMSE,Step_7_RMSE,Step_1_NRMSE,Step_2_NRMSE,Step_3_NRMSE,Step_4_NRMSE,Step_5_NRMSE,Step_6_NRMSE,Step_7_NRMSE
Vietnam,0.031540590589449954,0.043346233649469504,0.06276852129324183,0.07368132231455204,0.0850830255341436,0.09890278447390599,0.11699591892869353,0.28542016794373193,0.37616371316560177,0.5123547428303958,0.5677307853295975,0.6207974075804381,0.6852702834578013,0.7626090312410198
Singapore,0.004852528228459086,0.00888872917434069,0.007558346539567322,0.011298365510699782,0.012149793186713852,0.010754674473395658,0.014594379550239709,0.004987515711150539,0.009132822863289584,0.007762793184573651,0.011599498946676919,0.012468808440257096,0.011032802898686557,0.01496527397789455
Bangladesh,0.15591806015879117,0.21591460958938816,0.280279337423524,0.25772200281232743,0.4650918283245502,0.5137548963412537,0.4751949936350126,0.228525914582462,0.3147555551204925,0.40610840844728335,0.37128506393188815,0.666214410755221,0.7317533326589423,0.6727031790301969
India,0.34549320889019164,0.2730585622440377,0.36061561460623937,0.3493623581410381,0.3098610409014974,0.4628579994935768,0.6136079616181418,0.4344235588508063,0.3409571895767678,0.4471510091153144,0.4302971636500269,0.37910673507989046,0.5625532758229331,0.7408519003904208
Philippines,0.21281419079395195,0.21207111392058134,0.31558807290499663,0.4595451277592213,0.5608762145649562,0.7495649419701647,0.934153091441185,0.27471108019524415,0.2720444876774968,0.4022470205596278,0.5824546851224248,0.7069298751000772,0.9395229119222388,1.1642822411377363
Thailand,0.16467992326772893,0.19884507986517433,0.23207025008204837,0.2362821472360366,0.2033869561942084,0.24452275299900278,0.22805985853532504,0.2687126586485876,0.3189889339765005,0.3661146221699754,0.3667079340190078,0.3105378126975812,0.36738955909156923,0.3372741495936374
