Country,RMSE (Unnormalized),NRMSE
Vietnam,3029.106066117212,0.3777670118229696
Singapore,261.9866750195306,0.0042433510681771465
Bangladesh,13436.819721715408,0.016574442734972133
India,1666441.4889704296,0.06584457343581661
Philippines,34424.27044297611,0.028343833723747207
Thailand,4058.1879674243382,0.21289552929207317
