Country,Step_1_RMSE,Step_2_RMSE,Step_3_RMSE,Step_4_RMSE,Step_5_RMSE,Step_6_RMSE,Step_7_RMSE,Step_1_NRMSE,Step_2_NRMSE,Step_3_NRMSE,Step_4_NRMSE,Step_5_NRMSE,Step_6_NRMSE,Step_7_NRMSE
Vietnam,104.06788453226321,392.00222344716127,826.7308610540279,1267.9244318285985,1641.2368680262139,2078.7337221297576,2418.504705473207,0.02162854030515072,0.07869528970820566,0.159158105085097,0.2334462560136121,0.2913507186015433,0.3538430774951074,0.3981165082591454
Singapore,166.0191496330789,234.2452076241737,290.236579265589,340.46872445354643,383.11307581581747,423.2019519017954,481.2174587190706,0.002698088634985497,0.0038054948780999434,0.004713428372046315,0.005527592191068448,0.006217551296955719,0.006866015197020556,0.007801788878137473
Bangladesh,725.9722085984075,1580.560515649326,2583.391287343933,3674.295783585518,4936.49263733047,6417.946523252151,8070.066926133989,0.0009579441264935891,0.0020740806866096713,0.00337301411700162,0.0047737139253540605,0.006380595340437834,0.008250296017189953,0.010312343768180932
India,10177.479296224732,27821.554727510164,52388.65445098371,69392.81756356912,107842.76676952226,149273.71959458664,202105.86819889312,0.00042824456250007765,0.0011622542086691418,0.0021729047569297873,0.002856685843673125,0.004409001383026586,0.00605802246929032,0.008144697837134642
Philippines,5011.714830350968,10266.391698067267,14638.839162611268,20093.08704623683,18384.75297909961,20697.353788900182,24260.85948307096,0.004361361157163411,0.008896544996088536,0.012648236147652852,0.017229808717255456,0.015601289479896521,0.01745813725095863,0.020332884985322982
Thailand,3.9583557784402847,23.537048923046708,34.770580081641505,48.17531232499653,64.1395326595471,64.38077840608665,90.93111641399115,0.00014729861862986212,0.0008758623496835749,0.0012938853154333906,0.0017927031713986727,0.002386764881462699,0.002395742135455165,0.003383735214303991
