Country,Step_1_RMSE,Step_2_RMSE,Step_3_RMSE,Step_4_RMSE,Step_5_RMSE,Step_6_RMSE,Step_7_RMSE,Step_1_NRMSE,Step_2_NRMSE,Step_3_NRMSE,Step_4_NRMSE,Step_5_NRMSE,Step_6_NRMSE,Step_7_NRMSE
Vietnam,108.18482266424748,405.7550165821108,856.2536819177634,1307.2537480647275,1688.6435109645138,2135.5156005755257,2484.575287812639,0.022484167982427358,0.08145619251772189,0.1648416914211003,0.24068744594293498,0.2997662981901075,0.36350851679659657,0.4089925629883738
Singapore,15886.26925673245,15896.447741374217,15904.08381493823,15914.656274691906,15922.72989687153,15932.010133006474,15945.982576590384,0.25817842476991615,0.25825010924808406,0.25828157179366323,0.25837829859032485,0.25841036542684814,0.2584804328069165,0.25852592681938485
Bangladesh,847.1411095448368,1787.3448746515328,2706.599949017795,3726.9474723356007,5025.762912800382,6550.03151831639,8338.916378629852,0.0011178304631887788,0.0023454321730304504,0.003533881948831342,0.0048421199858847686,0.006495980401360553,0.008420091808532391,0.010655893332441204
India,14960.709792385063,37723.14507427412,64533.07175835616,90305.06795367274,132814.25009888186,175252.02129100903,228896.9754189582,0.0006295117320560057,0.0015758962630315744,0.002676614241624036,0.003717577961132265,0.005429925714193573,0.0071123080851264574,0.009224357101728432
Philippines,3598.3561613256234,6786.742415443458,9465.887265388421,12729.870139313707,18049.598303921888,20600.281674961923,23866.278338513475,0.0031314093724175815,0.005881186014675642,0.008178707078460436,0.010915855139191041,0.015316877439444706,0.017376257301199852,0.020002188826958815
Thailand,0.018955608173099322,0.05341564455774586,0.08618556077445465,0.1094831913463658,0.12741760976675623,0.14596605339346844,0.16640920655762653,7.053774484835828e-07,1.9877067896307024e-06,3.207143258082635e-06,4.074096354942351e-06,4.7414732172350025e-06,5.431699229467065e-06,6.192431308660237e-06
