Country,RMSE
Vietnam,0.6210998885197865
Thailand,0.6136732700718461
India,0.5750918226459958
Philippines,0.5145099847024845
Indonesia,0.6175585186960648
Malaysia,0.6775995380015044
Japan,0.5807111237630879
"Korea, South",0.6640060351781744
Bangladesh,0.7565808015583577
Pakistan,0.6427497897982805
