Country,Step_1_RMSE,Step_2_RMSE,Step_3_RMSE,Step_4_RMSE,Step_5_RMSE,Step_6_RMSE,Step_7_RMSE,Step_1_NRMSE,Step_2_NRMSE,Step_3_NRMSE,Step_4_NRMSE,Step_5_NRMSE,Step_6_NRMSE,Step_7_NRMSE
Vietnam,0.08343262297026076,0.10109722043251526,0.14253386270169566,0.22005477649010832,0.19976910122932068,0.19832966039331595,0.16613166980928976,0.7550065745478858,0.8773335680361173,1.1634478408050855,1.6955704260967672,1.4575896823047159,1.3741718528832192,1.0828883001374807
Singapore,0.04206192961137695,0.03962236569352364,0.04298359107735392,0.04155806411614174,0.04293945474392101,0.043360484615564916,0.046132052773971095,0.043232007090181816,0.04071043680215112,0.044146259518141245,0.042665704210454534,0.044066909411801296,0.0444818373199922,0.047304430212233885
Bangladesh,0.18302384248630107,0.18190937101880134,0.179557106348849,0.18380651560012576,0.1887790102504163,0.19065424163769032,0.20276734761229187,0.26825430583206333,0.2651834684347202,0.26016777174887984,0.2647993308719778,0.2704139041315773,0.2715533763230055,0.28704477355474306
India,0.32921096368094754,0.44807705478280496,0.3776045415904614,0.3649775084850378,0.3031414370916932,0.39122815696453395,0.4555294851973727,0.4139502449683055,0.5594957069174141,0.4682166966149423,0.4495297877333555,0.3708854786936283,0.47549503635103846,0.5499926759463445
Philippines,0.24875344816156378,0.27893403120085225,0.2636779140845167,0.33199167153750203,0.2834644466927221,0.310842275697872,0.23474425730115106,0.3211032506423294,0.35781613163154335,0.33608258497083104,0.42078588767012126,0.3572793438053541,0.3896172615071749,0.29257363968377476
Thailand,0.4940862489154756,0.5424711520512904,0.5312897388392273,0.5554405453304425,0.32680927436006957,0.4915753824082457,0.4194715614955199,0.8062138171629977,0.8702367422074284,0.838164055621686,0.8620391224269892,0.4989830180267461,0.73858019668203,0.6203499164242565
