Country,7-Day RMSE
Vietnam,0.5158002673474608
Thailand,0.4743532358920592
India,0.4298312437889378
Philippines,0.3557839937050907
Indonesia,0.4744625962065339
Malaysia,0.5543186197423019
Japan,0.4812528799002058
"Korea, South",0.6359602862599653
Bangladesh,0.6365783576275152
Pakistan,0.5133171697694576
